Dataset Size	Classifier	Fold Number	Accuracy	Confusion Matrix
1000	Logistic Regression	1	0.795	"[[91 15]
 [26 68]]"
1000	Logistic Regression	2	0.755	"[[68 19]
 [30 83]]"
1000	Logistic Regression	3	0.73	"[[71 21]
 [33 75]]"
1000	Logistic Regression	4	0.74	"[[85 24]
 [28 63]]"
1000	Logistic Regression	5	0.75	"[[81 19]
 [31 69]]"
1000	Decision Tree	1	0.57	"[[59 47]
 [39 55]]"
1000	Decision Tree	2	0.58	"[[54 33]
 [51 62]]"
1000	Decision Tree	3	0.555	"[[50 42]
 [47 61]]"
1000	Decision Tree	4	0.49	"[[54 55]
 [47 44]]"
1000	Decision Tree	5	0.495	"[[51 49]
 [52 48]]"
1000	LinearSVC	1	0.68	"[[76 30]
 [34 60]]"
1000	LinearSVC	2	0.64	"[[59 28]
 [44 69]]"
1000	LinearSVC	3	0.605	"[[64 28]
 [51 57]]"
1000	LinearSVC	4	0.595	"[[69 40]
 [41 50]]"
1000	LinearSVC	5	0.675	"[[71 29]
 [36 64]]"
1000	KNN	1	0.6	"[[87 19]
 [61 33]]"
1000	KNN	2	0.52	"[[73 14]
 [82 31]]"
1000	KNN	3	0.535	"[[76 16]
 [77 31]]"
1000	KNN	4	0.51	"[[78 31]
 [67 24]]"
1000	KNN	5	0.55	"[[84 16]
 [74 26]]"
1000	Random Forest	1	0.535	"[[67 39]
 [54 40]]"
1000	Random Forest	2	0.565	"[[63 24]
 [63 50]]"
1000	Random Forest	3	0.595	"[[52 40]
 [41 67]]"
1000	Random Forest	4	0.635	"[[74 35]
 [38 53]]"
1000	Random Forest	5	0.665	"[[71 29]
 [38 62]]"
